Asset	DateMin	DateMax	TotalDays	DateDiffDays
OW20B242225	2024-01-24	2024-01-31	5	7
OW20B242250	2024-01-04	2024-02-16	28	43
OW20B242325	2024-01-22	2024-02-16	16	25
OW20B242350	2023-11-24	2024-02-16	30	84
OW20B242425	2024-02-01	2024-02-16	6	15
OW20B242450	2023-11-21	2024-02-16	18	87
OW20B242550	2023-11-28	2024-02-06	11	70
OW20B242650	2023-12-06	2023-12-19	2	13
OW20C221550	2022-02-11	2022-02-11	1	0
OW20C221800	2021-04-27	2022-03-14	31	321
OW20C221875	2022-02-23	2022-03-18	5	23
OW20C221900	2021-04-27	2022-03-17	24	324
OW20C221975	2022-02-21	2022-03-18	4	25
OW20C222000	2021-03-25	2022-03-18	44	358
OW20C222075	2022-02-23	2022-03-18	9	23
OW20C222100	2021-04-23	2022-03-18	45	329
OW20C222175	2022-02-21	2022-03-18	15	25
OW20C222200	2021-03-22	2022-03-18	63	361
OW20C222225	2022-02-21	2022-03-18	14	25
OW20C222300	2021-03-23	2022-03-18	92	360
OW20C222350	2021-12-29	2022-03-18	33	79
OW20C222375	2022-02-22	2022-03-17	2	23
OW20C222400	2021-04-20	2022-03-17	92	331
OW20C222475	2022-03-01	2022-03-01	1	0
OW20C222500	2021-05-11	2022-03-17	92	310
OW20C222575	2022-03-01	2022-03-01	1	0
OW20C222600	2021-06-14	2022-03-01	56	260
OW20C222700	2021-08-23	2022-03-18	64	207
OW20C231650	2022-12-23	2023-03-17	7	84
OW20C231700	2022-03-22	2023-03-17	47	360
OW20C231725	2023-03-13	2023-03-17	5	4
OW20C231750	2023-02-23	2023-03-17	9	22
OW20C231800	2022-03-22	2023-03-17	77	360
OW20C231875	2023-02-20	2023-03-17	18	25
OW20C231900	2022-03-24	2023-03-17	95	358
OW20C231975	2023-02-20	2023-03-15	8	23
OW20C232000	2022-03-24	2023-03-16	110	357
OW20C232100	2022-03-30	2023-03-15	91	350
OW20C232200	2022-04-25	2023-03-16	57	325
OW20C232300	2022-03-29	2023-02-02	27	310
OW20C232400	2022-05-10	2023-02-16	25	282
OW20C232500	2022-03-21	2023-02-16	42	332
OW20C241300	2023-08-24	2024-03-15	43	204
OW20C241400	2023-03-20	2023-04-17	2	28
OW20C241500	2023-06-23	2023-11-03	8	133
OW20C241600	2023-04-17	2023-11-07	7	204
OW20C241700	2023-03-27	2024-03-14	4	353
OW20C242150	2023-12-29	2024-02-22	6	55
OW20C242225	2024-02-19	2024-02-26	2	7
OW20C242250	2024-01-04	2024-03-15	24	71
OW20C242275	2024-03-05	2024-03-08	3	3
OW20C242300	2023-04-21	2024-03-15	134	329
OW20C242325	2024-02-19	2024-03-15	6	25
OW20C242350	2023-12-20	2024-03-15	51	86
OW20C242425	2024-02-21	2024-03-15	17	23
OW20C242450	2023-12-20	2024-03-15	34	86
OW20C242525	2024-02-19	2024-03-14	13	24
OW20C242550	2023-12-19	2024-03-13	32	85
OW20C242625	2024-02-26	2024-02-26	1	0
OW20C242650	2023-12-18	2024-02-29	6	73
OW20C242750	2024-01-24	2024-02-12	2	19
OW20C252700	2024-03-19	2024-06-20	21	93
OW20C252800	2024-03-18	2024-06-20	25	94
OW20C252900	2024-04-09	2024-06-17	39	69
OW20D221450	2022-03-21	2022-03-23	2	2
OW20D222000	2022-01-24	2022-04-14	10	80
OW20D222075	2022-03-28	2022-04-14	9	17
